,10,50,100,500
48,4.041752268540314e-07,1.7638919995688075e-07,1.3369552860711678e-07,7.167739069946183e-08
49,4.769618674144732e-07,1.8933198328906078e-07,1.511264866251056e-07,5.7991719078024765e-08
50,4.089814675083597e-07,1.7383402588068848e-07,1.1922602706349484e-07,6.380749926473315e-08
51,3.369476644841955e-07,2.0455112489863482e-07,1.4528981862203397e-07,6.992945497582735e-08
52,4.6399200601202605e-07,1.9835885816942655e-07,1.4148001028323985e-07,6.43195062398196e-08
53,3.771709993377421e-07,1.6907792372954922e-07,1.417527825102716e-07,6.432264258085076e-08
54,5.63961974205347e-07,2.529869938222435e-07,1.2461852742563121e-07,6.238188978884081e-08
55,4.846654907029636e-07,1.8328209088575828e-07,1.4240074614438575e-07,6.557071760288257e-08
56,4.673430108407736e-07,2.1174703316355598e-07,1.5954949892527076e-07,6.889434741240014e-08
57,2.8924794497363587e-07,2.2376208306243866e-07,1.1744804296649186e-07,6.260075046065382e-08
58,4.5828249563294034e-07,1.9066483420035474e-07,1.3053655073501894e-07,6.42934776529412e-08
59,3.557216093907687e-07,2.2866477789840576e-07,1.3969658062177642e-07,6.178497595888123e-08
60,3.4161308256759393e-07,2.4543823304662334e-07,1.581405752332298e-07,6.559337712254963e-08
61,3.803013538562751e-07,1.7125965821559846e-07,1.631951236164766e-07,6.095671799740238e-08
62,2.876641963641875e-07,2.4621710236328625e-07,1.3895611401286948e-07,5.989087080094468e-08
63,3.078823596257583e-07,2.2017524922247093e-07,1.4674554712056048e-07,7.038232609589769e-08
64,3.891448896807037e-07,1.7274855161248266e-07,1.3488852487971664e-07,5.705106995699953e-08
65,3.4747861661118943e-07,2.8273216689433107e-07,1.375834717590102e-07,5.9384785486800436e-08
66,7.265744493327645e-07,2.18147551666954e-07,1.4145870113676472e-07,6.206717669421219e-08
67,5.607242662059525e-07,2.6146407384469134e-07,1.5976076167249112e-07,6.326103425721898e-08
68,3.107011669469871e-07,1.8304515385995728e-07,1.3203706035855838e-07,6.083326129118246e-08
69,5.502249719730929e-07,1.9164858363972176e-07,1.5456484918208833e-07,6.426026039787993e-08
70,8.457955546320653e-07,2.3195164693072708e-07,1.512189153296392e-07,6.142173420771608e-08
71,2.934269281268281e-07,1.988758449643643e-07,1.5682373927847003e-07,6.062314818527342e-08
72,4.7056082275195595e-07,2.0895095772689753e-07,1.6105260407575818e-07,6.046032055364823e-08
73,4.4525743861252666e-07,2.291143225545874e-07,1.3870899397311166e-07,6.161845705239758e-08
74,5.265075780549191e-07,2.0813815494213612e-07,1.562539510151214e-07,6.779461131472261e-08
75,3.8210325799807234e-07,1.8423999686477376e-07,1.3023547702379131e-07,6.016498422242544e-08
76,3.7270619074538233e-07,1.7693236095035656e-07,1.4563946567823857e-07,6.296884715627091e-08
77,4.3843919348953463e-07,1.9221213079122906e-07,1.5848295302593723e-07,6.534053803268305e-08
78,3.98190658528249e-07,2.235097951013754e-07,1.5241531137869096e-07,6.483127976902316e-08
79,6.73662065072289e-07,1.598645814983164e-07,1.1602484647247264e-07,6.311730755262262e-08
80,4.313635846387632e-07,1.9332678605315324e-07,1.4339619634719393e-07,5.5338244791875466e-08
81,3.988317144104882e-07,2.1320907173516724e-07,1.7303507542423356e-07,6.543785947395026e-08
82,4.90160542026153e-07,2.3468007521835955e-07,1.3112803739830992e-07,7.154576091319141e-08
83,8.545543393265364e-07,1.6789071785898523e-07,1.5588527593987354e-07,6.691930911353344e-08
84,8.513739751067422e-07,2.105848964407578e-07,1.6979361267786542e-07,6.361788080487499e-08
85,6.029292241547002e-07,2.1147492409963246e-07,1.402284127717577e-07,6.33968931813793e-08
86,4.913049534893992e-07,2.1323674232966775e-07,1.7053924679094603e-07,6.375753892426589e-08
87,6.804318890733969e-07,1.6748604242687325e-07,1.480804088644827e-07,7.038213237950348e-08
88,3.7390198238721896e-07,1.6423161105802007e-07,1.284742854397826e-07,6.248083400195515e-08
89,3.4914761846425724e-07,2.291616834701238e-07,1.3027737563580454e-07,6.296119154871115e-08
90,3.0151067661447425e-07,2.085837352416138e-07,1.3386051702856323e-07,6.875062352166603e-08
91,3.657995984747678e-07,1.900889246128488e-07,1.598321802260172e-07,6.354914649725813e-08
92,6.991441111233293e-07,1.9705307655955327e-07,1.297455834355014e-07,6.846352599475955e-08
93,6.682998170405942e-07,2.1307733105283996e-07,1.5341172709147277e-07,6.4127449107845e-08
94,4.4650210304031606e-07,1.6316554662038261e-07,1.5452882366947172e-07,6.811815259171491e-08
95,3.197256650061357e-07,2.2560262842943066e-07,1.3267426201237085e-07,6.37743052920699e-08
96,5.506612493880155e-07,1.4962866885470618e-07,1.17979181062488e-07,6.265185891819122e-08
97,5.084107466556366e-07,1.7225460355431606e-07,1.459444409701981e-07,6.201957115157123e-08
98,3.412421932152653e-07,2.1293874859705776e-07,1.55762839833674e-07,6.7527054483821e-08
99,2.696429974020597e-07,2.2147381424363373e-07,1.548375038297282e-07,6.191276559967701e-08
