,10,50,100,500
71,1.0886299892672934e-06,1.2524147536542056e-08,4.113066265756281e-09,2.067361136745258e-09
72,3.150722673008339e-07,1.032507318110822e-08,7.506089264217682e-09,1.428605357320404e-09
73,9.7541591803137e-09,5.178908426124061e-08,2.9829919209574075e-09,3.349543135988735e-09
74,1.0229642509517412e-07,1.2020200516774145e-08,1.1633087811604299e-08,3.5265136838412013e-09
75,5.7543709497444555e-09,1.1233976858259034e-08,5.0731289333576405e-09,2.8440436569534374e-09
76,1.2179517895872202e-07,2.0757997002498016e-09,7.023254076788683e-09,3.9964094145870154e-09
77,4.051303145653661e-09,1.2170294859162072e-08,6.383690510840276e-09,3.960362142619538e-09
78,8.959464719851829e-09,3.3020060444261826e-08,6.079081247077394e-09,3.786244717788419e-09
79,1.4279838843574036e-07,3.418717978149801e-09,5.880837600797043e-10,3.0779790854350934e-09
80,2.906939781196916e-07,4.108429734458287e-09,9.019966895452657e-09,4.942556303404406e-10
81,7.952554366300297e-08,1.2875923989567073e-08,1.7961632279207174e-09,4.022375867707577e-09
82,1.0960563053661315e-07,2.8960705620372806e-08,1.3099555935852803e-09,6.872282348490279e-10
83,1.0387067203575798e-06,1.5954696204463472e-10,2.365812094689666e-08,2.0601944249921276e-09
84,2.3907548899126094e-07,7.860657625809736e-09,1.953381549492171e-08,3.884319559579703e-09
85,3.7821685348985623e-07,1.2511748703254306e-08,9.026582105964594e-09,4.066679102084048e-09
86,1.718812217319403e-08,1.3425066930815804e-08,3.483022796258949e-08,3.6864707723299448e-09
87,4.4405911293378535e-07,6.479022821158992e-09,9.60467301929895e-09,1.6105663524070613e-09
88,2.240829711511668e-06,2.905012933519541e-08,8.336534083018112e-09,3.2552686563256942e-09
89,5.025607006292767e-09,4.3120685917869004e-08,6.4997296457765996e-09,4.0457537109348425e-09
90,7.059673128986982e-07,1.021047520578991e-08,1.3500502991127977e-09,3.1059970545977537e-09
91,7.524874017938373e-07,7.938296418998322e-07,4.4907494436672085e-09,4.0741533143760846e-09
92,4.556644828226563e-07,6.939123802304783e-09,5.47390490394527e-09,6.107503222552951e-10
93,2.9653093674522015e-07,1.341534904819459e-08,4.755699098721514e-09,4.043585814329507e-09
94,7.32357133518527e-08,3.489638272281992e-07,4.946402063457285e-09,2.891755917962737e-09
95,4.879915692593841e-10,6.190198033942338e-09,2.4030586875642766e-10,4.016242731377627e-09
96,8.02288349928643e-08,5.546286561430156e-07,3.9357534133776575e-09,3.464820161079528e-09
97,2.704484484233908e-06,3.6171429849546056e-08,6.59923220013631e-09,2.9583591231944685e-09
98,8.861937130566663e-07,2.3347467496553836e-08,1.4226037433120985e-09,3.25916450739236e-09
99,6.270121920903716e-07,9.028051428388863e-09,9.853275459160087e-09,3.079696655081229e-09
