,10,50,100,500
51,5.464754793500001e-07,2.4258521212281395e-07,1.371142856644176e-07,6.56087922022634e-08
52,3.1804872789247484e-07,2.1795901111698932e-07,1.2512842527800912e-07,6.749997968429983e-08
53,5.128122957179711e-07,2.210396766313165e-07,1.5149007787586693e-07,6.690550927964394e-08
54,4.066854037108238e-07,1.6352428140997103e-07,1.5002379422555798e-07,6.993745817583939e-08
55,5.88539782229456e-07,2.0026901233710738e-07,1.4806445438989872e-07,6.119618287794748e-08
56,4.783256849759699e-07,9.161833345407235e-08,1.156680603197273e-07,6.196133621892614e-08
57,3.361151701158911e-07,2.191415415830817e-07,1.3054705743763498e-07,7.114414576023686e-08
58,4.5795487813715365e-07,2.064079437729749e-07,1.3892874935306364e-07,7.054449592678686e-08
59,4.571599529419049e-07,2.216588973332805e-07,1.496596925611062e-07,6.532314648441528e-08
60,1.300036042640848e-06,2.0727115972665747e-07,1.5280005979267974e-07,6.394266825669828e-08
61,3.8257057786204247e-07,1.6726599989513085e-07,1.3689559016455662e-07,7.009445742423774e-08
62,4.077037328154274e-07,1.733997067421558e-07,1.4665728913174256e-07,6.791907273747167e-08
63,4.5516343437451437e-07,2.124625065193605e-07,1.11716803405819e-07,6.798866522205723e-08
64,4.982369559021429e-07,2.258759484844809e-07,1.2374752441297877e-07,7.115167485904185e-08
65,1.3976842984161375e-06,2.0386587661403968e-07,1.30700715761314e-07,6.873656968720719e-08
66,8.415336792321042e-07,2.006239548970067e-07,1.6785323759517453e-07,6.69947318493995e-08
67,4.743739877082817e-07,2.130719217607824e-07,1.2068657553163999e-07,6.28400137698371e-08
68,3.4312990028750467e-07,1.8666054945130623e-07,1.3817510820484425e-07,6.820368614203364e-08
69,4.782428828198306e-07,2.5439153873737665e-07,1.3412864719437504e-07,6.507856537426957e-08
70,4.5177197817083564e-07,2.3025684755703853e-07,1.6037636901298866e-07,6.684470158126587e-08
71,6.69522603086283e-07,2.1654973511072611e-07,1.454020382503464e-07,6.639338522891928e-08
72,4.7342346646634504e-07,2.2515148389169412e-07,1.5323929568524195e-07,6.480282996324749e-08
73,4.459727751387859e-07,2.2459850985864834e-07,1.539698438982545e-07,6.449887514447854e-08
74,4.7482315484891285e-07,2.1095462811670886e-07,1.4612032056978102e-07,6.409119896237671e-08
75,9.239053975428248e-07,2.0060987374507581e-07,1.4648387697120592e-07,5.994802301566158e-08
76,3.9543991858544087e-07,2.0580049925675928e-07,1.5761402704770226e-07,7.078135033347906e-08
77,5.426765141779754e-07,1.0073177620632949e-06,1.3811262195861923e-07,6.69164322375389e-08
78,4.5450073656093775e-07,1.3700605708563164e-07,9.702070694897501e-08,6.783018741628608e-08
79,4.296359584838239e-07,2.1199085260629578e-07,1.40172055889997e-07,6.380381297980048e-08
80,5.400435393581241e-07,1.9765161828667337e-07,1.444948362858378e-07,6.309019637636857e-08
81,3.9000005168477897e-07,2.2471954262639425e-07,1.249166583991895e-07,6.514855287690816e-08
82,5.083765682144738e-07,2.2398550249282396e-07,1.2348759388859398e-07,7.024526380978516e-08
83,2.909938685482211e-06,2.0406385776296522e-07,1.270207799989701e-07,6.583618578984152e-08
84,5.970377858903248e-07,2.495507820825485e-07,1.266954677273123e-07,6.422801207155995e-08
85,5.638036858807498e-07,1.7998962706572643e-07,1.452235307703324e-07,6.700463016736433e-08
86,2.200153323692675e-07,2.2828027280734991e-07,1.6270744372503063e-07,7.090398518493558e-08
87,4.959117280967391e-07,1.5552170322662712e-07,1.4418610087886197e-07,6.679377985682179e-08
88,1.099772077915182e-06,2.2143773479681045e-07,1.6325361786676447e-07,6.062602508881846e-08
89,5.129688887176658e-07,2.0755633663265485e-07,1.534886260484706e-07,6.84424328953755e-08
90,2.3133224449257147e-06,7.855142240586635e-07,1.3562546405759312e-07,6.669789182739037e-08
91,6.719475883142089e-07,2.426778201051538e-07,1.4084005547851472e-07,7.00308852600114e-08
92,1.168499528368103e-06,2.2866686388926873e-07,1.4509624096567454e-07,6.875472198036648e-08
93,8.159115537462701e-07,1.9609772421980089e-07,1.5063476643481867e-07,6.713817270315875e-08
94,1.4372982300377462e-06,2.0872400462726358e-07,1.506297709519717e-07,6.316538183542806e-08
95,3.6800421706324833e-07,2.462788532324447e-07,1.5331119768443554e-07,6.442589811846145e-08
96,5.276408110971776e-07,7.083283071538293e-07,1.4503971951276663e-07,6.990236178319484e-08
97,6.754433402309061e-07,2.0968141612356422e-07,1.2592146572364174e-07,6.938131839402241e-08
98,4.119767967794042e-07,1.5058825381591292e-07,1.615956187647685e-07,6.663938234744418e-08
99,3.74517965555353e-07,2.251126295117075e-07,1.656763348906064e-07,6.997555331710767e-08
